time,open,high,low,close,Short MA,Mid MA,Long MA,Short MA Forecast 1,Short MA Forecast 2,Short MA Forecast 3,Mid MA Forecast 1,Mid MA Forecast 2,Mid MA Forecast 3,Long MA Forecast 1,Long MA Forecast 2,Long MA Forecast 3,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Plot,Plot,Volume,Volume MA,RSI,Premium Index,Funding Rate
2021-12-13T03:00:00-05:00,48807.2868203,49232,48214,49096,49003.26865411146,49164.15499482001,49321.503298051895,48960.08805810002,49029.06203608291,49136.99999999996,49158.10971137842,49167.766068295874,49182.87738324403,49319.99197719152,49322.40606642085,49326.183895157985,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,459.25711725,220.06853242349766,46.76800074617791,-0.0688125,-0.018812499999999996
2021-12-13T04:00:00-05:00,49092.27590049,49092.27590049,48771,48940.19810013,49018.868382701454,49181.57895682261,49320.64928855255,49041.12579696859,48954.76460494577,49058.225571919975,49184.69499482002,49172.604427936676,49187.08896331283,49321.42829805191,49318.405656331044,49322.02679017518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,129.21587398,217.86901359349764,44.78987009998378,-0.06831785714285714,-0.018317857142857136
2021-12-13T05:00:00-05:00,48940,48950,48554,48759,48999.43981127288,49188.098956822614,49318.85428855255,49025.325254148585,49069.84008268291,48940.29829464854,49191.722918825224,49197.95499481987,49179.81914449483,49319.76027905322,49321.318298051854,49316.78433547067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,131.26928263,216.91050044899762,42.53649524377313,-0.06766875,-0.017668749999999997
2021-12-13T06:00:00-05:00,48752,49000,48648,48903,48973.43981127288,49194.418956822614,49317.16428855255,48952.86838270144,49004.63926845292,49071.41151125426,49191.538956822624,49198.786880827676,49208.13499481963,49316.44428855257,49318.2562695538,49320.593298051885,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,123.07679585,218.03472480649762,44.908584926565965,-0.0495,0.0005000000000000004
2021-12-13T07:00:00-05:00,48897,49060,48597.08385626,48635,48880.29695413002,49198.958956822615,49315.29928855255,48918.58266841573,48877.43981127291,48955.09613989997,49204.31895682263,49198.558956822475,49209.430842830036,49316.63928855257,49315.199288552496,49317.91726005447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,247.52182534,219.9077982799976,41.47693749761658,-0.044362500000000006,0.005637499999999997
2021-12-13T08:00:00-05:00,48633,48681,48218,48514,48805.84770400717,49204.29895682261,49310.47928855255,48823.13341829287,48899.70484686433,48837.99056114996,49206.718956822624,49217.43895682247,49208.79895682223,49311.08428855258,49313.7642885525,49311.60428855253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,309.09050375,211.8156544559976,39.99109806568519,-0.04824166666666666,0.001758333333333341
2021-12-13T09:00:00-05:00,48499,48499,47800,48004,48693.02830001859,49193.27895682261,49302.673482187856,48765.885442875726,48800.4568714472,48915.31401430425,49203.478956822626,49208.31895682248,49224.39895682223,49305.223482187874,49306.4334821878,49310.453482187826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,467.73930948,221.64504051849758,34.39782891005203,-0.0468375,0.0031625000000000056
2021-12-13T10:00:00-05:00,48009,48010,47100,47325,48440.02830001859,49171.998956822616,49292.368482187856,48537.02830001858,48682.74258573291,48734.59972858996,49185.57895682263,49205.97895682248,49213.23895682223,49295.763482187875,49300.86348218779,49302.67848218784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,645.27899616,247.1541802989976,28.652122064727905,-0.04678,0.0032200000000000006
2021-12-13T11:00:00-05:00,47324,47600,46818,47201,48191.57142857146,49145.69895682261,49280.56348218786,48209.285714285725,48403.28571428576,48621.85714285711,49148.17895682263,49175.33895682248,49205.938956822225,49281.183482187866,49287.973482187794,49295.62348218783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,715.89949791,275.8927068344976,27.740807878933055,-0.04600833333333334,0.003991666666666664
2021-12-13T12:00:00-05:00,47208,47939,47128,47587,48024.142857142884,49121.73038607301,49273.18848218786,47969.00000000001,48004.42857142862,48295.428571428536,49114.01038607303,49118.970386072884,49159.71038607263,49271.25848218786,49272.49848218779,49282.68348218783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,53096.21419887,50592.1341712,378.80214533,287.9054486034976,34.703128437787655,-0.05322500000000001,-0.0032250000000000056
2021-12-13T13:00:00-05:00,47581,47714,47383.16595687,47523.24254713,47827.03464959003,49091.77523701561,49264.04969492352,47836.14285714286,47725.857142857196,47778.99999999996,49093.05038607303,49077.61038607288,49085.05038607263,49264.36848218786,49260.50848218779,49262.36848218783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,53096.21419887,50592.1341712,209.43283056,292.7794799079976,34.11836863898172,-0.053621875000000006,-0.0036218750000000036
2021-12-13T14:00:00-05:00,47520,47520,45788,46793,47563.891792447175,49052.95523701561,49251.33969492352,47668.212156322865,47686.42857142862,47520.99999999996,49067.56008795824,49070.11038607288,49046.95038607263,49254.990907659165,49255.62848218779,49249.83848218783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,53096.21419887,50592.1341712,1694.50737126,371.3171431344976,28.247417260088966,0.045025,0.010000000000000002
2021-12-13T15:00:00-05:00,46794,47020,46407,46684,47302.4632210186,49012.615237015605,49237.51969492352,47318.034649590016,47526.675377341475,47553.99999999996,49014.795237015634,49044.00493890068,49047.83038607263,49238.064694923516,49245.367120394745,49246.32348218783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,46407,50592.1341712,453.63349629,383.0541736979976,27.48710281545533,-0.005924999999999996,0.009999999999999998
